ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
89.146.36.51,800000090300d4e880c80580,12,12408992,9,00d4e880c80580
92.70.157.169,80003a8c04,0,0,invalid,invalid
93.117.208.179,8000000903007411b2a89500,12,36286903,9,007411b2a89500
145.222.49.158,8000000903003a9c403145,0,0,9,003a9c403145
92.64.243.96,800000090300649ef3129840,6,1304105,9,00649ef3129840
92.48.192.17,8000000903bc1665bfcd40,0,0,9,bc1665bfcd40
145.131.225.84,800000090300c471feaee0fb,6,6662576,9,00c471feaee0fb
90.145.71.2,800007c703002438c932c0,0,28353569,1991,002438c932c0
151.236.144.95,800000090300f80f6fc6e68d,4,9443288,9,00f80f6fc6e68d
91.189.209.89,800000090300500f807e2d00,11,99149321,9,00500f807e2d00
137.174.145.92,80000009030028b591de3540,2,11617389,9,0028b591de3540
94.142.210.152,800000090300500f8054d500,11,99152627,9,00500f8054d500
92.70.88.148,800000090300f07f06393148,1,5805617,9,00f07f06393148
92.66.150.143,8000000903004c5d3c541070,24,8722277,9,004c5d3c541070
147.75.86.117,5a810f64d614e387954ea1795744743b3f79ccde1f8710144e033ed8cd66f1a4,14,19307450,1518407524,not_set
145.128.241.142,80000009ee002c0be9f08163,1,112945049,9,No Mac indication (0x03)
92.66.56.16,800000090300ac3a67667c06,6,40098405,9,00ac3a67667c06
94.142.214.193,800000090300500f8054d200,19,5956224,9,00500f8054d200
92.48.253.34,8000000903547fee3f30c0,0,0,9,547fee3f30c0
145.220.141.9,80001f8880261889700e3bf35f00000000,17,4008469,8072,No Mac indication (0x03)
109.235.36.112,800000090300d4eb68bd6280,17,46398177,9,00d4eb68bd6280
89.20.95.87,80000009030070df2fb49cbc,1,36047944,9,0070df2fb49cbc
109.109.101.223,800000090300b0c53ce4ad80,34,31934001,9,00b0c53ce4ad80
145.128.242.214,80000009ee000008e3fffc2c,1,39227192,9,No Mac indication (0x03)
92.65.139.200,80000009030000fd2215a428,1,21437801,9,0000fd2215a428
109.109.124.0,800000090300a84fb1b2df80,14,33324122,9,00a84fb1b2df80
94.208.24.0,80000009030034f8e758d800,10,6794303,9,0034f8e758d800
93.117.223.37,800007db03f063f966500b,18,4693544,2011,f063f966500b
94.214.9.1,800000090300002790ff8000,11,29686986,9,00002790ff8000
143.178.27.255,502660000000010030000010,6,49036260,1344692224,not_set
92.66.156.91,80000009030044b6be089d00,4,114141508,9,0044b6be089d00
145.131.90.83,80001f888003a9702126db8a60,26,17523188,8072,No Mac indication (0x03)
89.146.11.194,80000009030000fec8f34aa0,5,70868874,9,0000fec8f34aa0
94.215.77.0,800000090300285261fac000,20,9326127,9,00285261fac000
92.64.60.104,80000009030000fcba717546,2,5047397,9,0000fcba717546
145.131.173.207,8000000903005897bdb1dbb0,2,10810512,9,005897bdb1dbb0
95.99.192.1,502660000000010030000034,7,57249760,1344692224,not_set
95.96.2.255,80000009030000ebd5ec4400,18,14389448,9,0000ebd5ec4400
93.117.242.209,800033870370fc8c16130a,0,0,13191,70fc8c16130a
87.215.78.33,80003a8c04,0,0,invalid,invalid
