IP,Enterprise Code,MAC,Vendor
80.113.97.242,9.0,0034ed1b623b00,ciscoSystems
82.174.252.1,1344692224.0,not_set,
80.113.68.192,9.0,00dcf71977f201,ciscoSystems
81.175.121.167,9.0,0038ed18fba681,ciscoSystems
81.85.161.27,9.0,00b0faeb8afc60,ciscoSystems
80.114.119.0,9.0,00002790ffa800,ciscoSystems
80.115.170.255,9.0,00002790fe2000,ciscoSystems
80.112.243.113,9.0,00889cadf41c80,ciscoSystems
81.173.74.209,9.0,not_set,ciscoSystems
81.201.127.79,9.0,00780cf032f900,ciscoSystems
80.56.9.0,9.0,000027900df000,ciscoSystems
80.67.32.15,9.0,00641225788007,ciscoSystems
81.173.65.25,9.0,not_set,ciscoSystems
80.113.96.63,9.0,0000af1f278601,ciscoSystems
81.173.54.145,9.0,not_set,ciscoSystems
77.251.1.0,9.0,00285261fa5c00,ciscoSystems
80.65.120.31,9.0,00b0aa77199c72,ciscoSystems
81.173.99.0,9.0,00a4530ee1c680,ciscoSystems
80.56.71.0,9.0,0028526128e000,ciscoSystems
81.4.116.224,9.0,00001873b8540c,ciscoSystems
80.113.98.241,9.0,00d009c83a3a80,ciscoSystems
80.113.97.112,9.0,006c310eb80000,ciscoSystems
80.65.118.147,9.0,00b838619ad686,ciscoSystems
81.173.72.121,9.0,00ec01d5ccd480,ciscoSystems
80.115.72.70,2863.0,No Mac indication (0x03),Thomson Inc.
82.75.201.80,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.58.129,9.0,0000fd22073200,ciscoSystems
81.173.68.8,9.0,00bc1665ee64a8,ciscoSystems
81.173.64.92,9.0,00641225be646c,ciscoSystems
81.171.32.10,1970372392.0,No Mac indication (0x03),
81.173.77.183,9.0,00000000000000,ciscoSystems
81.23.245.63,9.0,00ecce13658300,ciscoSystems
81.30.42.138,9.0,004800b32cae00,ciscoSystems
81.173.56.115,9.0,00d47798186400,ciscoSystems
77.250.33.0,9.0,000027900df000,ciscoSystems
80.113.248.139,9.0,0044b6be74f000,ciscoSystems
81.173.73.171,9.0,0010b3d544d380,ciscoSystems
82.75.142.125,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.113.248.81,9.0,005c64f1f42780,ciscoSystems
80.114.62.255,9.0,000027900d5800,ciscoSystems
80.112.209.19,9.0,00683b78683f00,ciscoSystems
82.101.229.163,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.112.86.50,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.98.40,9.0,00bc5a56b88d80,ciscoSystems
80.84.254.103,9.0,00001873b8540c,ciscoSystems
80.113.248.99,9.0,0034b883766100,ciscoSystems
82.174.187.255,1344692224.0,not_set,
81.173.1.249,9.0,00706d15414990,ciscoSystems
80.112.247.81,13191.0,70fc8c1604f8,OneAccess
78.152.32.101,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
80.113.97.145,9.0,007cad4f9b7080,ciscoSystems
80.246.203.100,9.0,0024813bc17000,ciscoSystems
81.171.60.252,1970372392.0,No Mac indication (0x03),
80.255.242.169,9.0,002cd02d7471c8,ciscoSystems
80.112.60.1,9.0,00f8b7e204e000,ciscoSystems
80.113.129.87,9.0,007cad4f9b6d00,ciscoSystems
80.113.16.96,9.0,006c29d2be4e80,ciscoSystems
77.251.30.0,9.0,0000ebd5ed3c00,ciscoSystems
80.239.152.57,9.0,002436da231380,ciscoSystems
82.75.243.255,9.0,006c410e8ff800,ciscoSystems
80.113.211.172,nan,invalid,
82.74.175.0,9.0,0028526129c800,ciscoSystems
81.175.70.29,8072.0,No Mac indication (0x03),net-snmp
80.113.169.159,9.0,00bcf1f269f383,ciscoSystems
77.251.43.198,8072.0,No Mac indication (0x03),net-snmp
81.175.70.118,8072.0,No Mac indication (0x03),net-snmp
82.75.147.96,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
77.250.223.255,9.0,007018a7665c00,ciscoSystems
80.249.209.221,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
82.151.47.63,9.0,0000260b7a09dd,ciscoSystems
80.112.246.199,9.0,00d824bdb73f01,ciscoSystems
80.79.192.225,9.0,00001f9e6bdec0,ciscoSystems
81.28.84.229,2021.0,No Mac indication (0x03),"U.C. Davis, ECE Dept. Tom"
80.114.241.0,9.0,006c13d5215000,ciscoSystems
80.60.232.158,8072.0,No Mac indication (0x03),net-snmp
80.112.247.5,2011.0,a0a33b3d933f,"HUAWEI Technology Co.,Ltd"
81.173.62.243,9.0,004403a782164a,ciscoSystems
80.67.32.103,9.0,006412257885c7,ciscoSystems
82.74.67.200,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.66.193,9.0,00b0c53c1f1480,ciscoSystems
80.231.152.192,942682160.0,not_set,
81.173.125.15,2011.0,40eeddb2fbf7,"HUAWEI Technology Co.,Ltd"
81.175.120.216,9.0,00e462c4793f80,ciscoSystems
81.171.63.252,1970372392.0,No Mac indication (0x03),
77.251.75.227,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.113.105.0,9.0,00084fa938f980,ciscoSystems
82.75.219.1,9.0,00f4bd9ee39c00,ciscoSystems
81.173.51.184,9.0,not_set,ciscoSystems
81.173.76.135,9.0,00000000000000,ciscoSystems
80.113.107.129,9.0,0084ebef22fd80,ciscoSystems
80.65.120.49,9.0,00f8a73a9d5180,ciscoSystems
80.249.210.28,nan,invalid,
80.113.232.23,8072.0,No Mac indication (0x03),net-snmp
82.75.203.99,2863.0,No Mac indication (0x03),Thomson Inc.
80.56.96.1,9.0,0000ebd5ec4400,ciscoSystems
80.115.148.1,9.0,00002790fe1000,ciscoSystems
81.30.42.16,9.0,0000235d4cd103,ciscoSystems
81.173.77.64,9.0,not_set,ciscoSystems
81.24.104.47,9.0,00001794197c44,ciscoSystems
80.114.67.255,9.0,000029c200ac00,ciscoSystems
81.173.75.109,9.0,0070617b34dc00,ciscoSystems
82.72.64.1,9.0,006c13d5219000,ciscoSystems
81.173.76.23,9.0,007426ac71f217,ciscoSystems
77.250.62.255,9.0,0028526128e000,ciscoSystems
81.173.124.213,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
82.72.149.0,9.0,000029c2016c00,ciscoSystems
82.174.104.1,1344692224.0,not_set,
