IP,Enterprise Code,MAC,Engine Time,Engine Boots,Vendor,Scan Date,Reboot Date
93.186.184.225,1588.0,No Mac indication (0x03),122973025,2,"Brocade Communications Systems, Inc.",06_02_16_48_38,07_10_21_09_38_13
93.174.93.1,1970372420.0,No Mac indication (0x03),21013889,4,unknown,06_02_16_48_38,10_02_24_11_37_09
95.98.223.255,1344692224.0,not_set,50507271,6,unknown,06_02_16_48_38,10_27_23_03_00_47
93.186.191.131,1588.0,No Mac indication (0x03),44229867,0,"Brocade Communications Systems, Inc.",06_02_16_48_38,01_07_24_18_44_11
109.72.82.2,1991.0,0012f29c3300,129443783,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_21_12_12_15
94.102.49.1,1970372420.0,No Mac indication (0x03),21014047,4,unknown,06_02_16_48_38,10_02_24_11_34_31
93.186.184.65,1588.0,No Mac indication (0x03),70140803,6,"Brocade Communications Systems, Inc.",06_02_16_48_38,03_13_23_21_15_15
95.99.252.0,1344692224.0,not_set,50510447,6,unknown,06_02_16_48_38,10_27_23_02_07_51
95.98.156.1,1344692224.0,not_set,49992221,7,unknown,06_02_16_48_38,11_02_23_02_04_57
95.98.224.1,1344692224.0,not_set,50599505,10,unknown,06_02_16_48_38,10_26_23_01_23_33
95.99.83.255,1344692224.0,not_set,57771783,7,unknown,06_02_16_48_38,08_04_23_01_05_35
94.102.55.129,1970372420.0,No Mac indication (0x03),21014129,4,unknown,06_02_16_48_38,10_02_24_11_33_09
95.99.128.255,1344692224.0,not_set,49903729,8,unknown,06_02_16_48_38,11_03_23_02_39_49
93.186.183.65,1588.0,No Mac indication (0x03),70140945,6,"Brocade Communications Systems, Inc.",06_02_16_48_38,03_13_23_21_12_53
94.157.104.1,1344692224.0,not_set,65112489,5,unknown,06_02_16_48_38,05_11_23_02_00_29
109.72.87.196,1991.0,000cdbf9cf00,158277943,634,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,05_27_20_18_42_55
109.72.81.2,1991.0,0012f29c3300,129443961,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_16_48_38,04_26_21_12_09_17
103.75.71.65,1970372500.0,No Mac indication (0x03),38662149,8,unknown,06_02_16_48_38,03_12_24_05_19_29
81.171.37.163,1970372420.0,No Mac indication (0x03),81508471,23,unknown,06_02_17_36_23,11_02_22_08_21_52
79.143.215.98,52642.0,649d99d2526a,39664219,3,FS.COM INC,06_02_17_36_23,02_29_24_15_46_04
82.174.183.255,1344692224.0,not_set,49301641,8,unknown,06_02_17_36_23,11_10_23_02_42_22
82.174.149.1,1344692224.0,not_set,50513099,6,unknown,06_02_17_36_23,10_27_23_02_11_24
81.171.65.67,1970372420.0,No Mac indication (0x03),81505703,14,unknown,06_02_17_36_23,11_02_22_09_08_00
82.174.148.0,1344692224.0,not_set,49906625,7,unknown,06_02_17_36_23,11_03_23_02_39_18
80.82.76.65,1970372420.0,No Mac indication (0x03),21016757,4,unknown,06_02_17_36_23,10_02_24_11_37_06
81.171.32.8,1970372548.0,No Mac indication (0x03),85040985,13,unknown,06_02_17_36_23,09_22_22_11_06_38
82.174.240.255,1344692224.0,not_set,49993033,8,unknown,06_02_17_36_23,11_02_23_02_39_10
81.171.92.245,1991.0,748ef8232a60,230056151,0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_17_36_23,02_17_18_01_07_12
81.171.32.10,1970372392.0,No Mac indication (0x03),85650479,26,unknown,06_02_17_36_23,09_15_22_09_48_24
82.174.187.255,1344692224.0,not_set,50080655,7,unknown,06_02_17_36_23,11_01_23_02_18_48
81.28.84.229,2021.0,No Mac indication (0x03),1748878199,17,"U.C. Davis, ECE Dept. Tom",06_02_17_36_23,01_01_70_02_06_24
80.231.152.192,942682160.0,not_set,9435713,1314,unknown,06_02_17_36_23,02_13_25_12_34_30
81.171.63.252,1970372392.0,No Mac indication (0x03),45947425,18,unknown,06_02_17_36_23,12_18_23_22_25_58
82.174.104.1,1344692224.0,not_set,49476425,6,unknown,06_02_17_36_23,11_08_23_02_09_18
81.171.92.251,1991.0,748ef8ccb1c0,1256430141,0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_17_36_23,08_09_85_17_14_02
79.99.128.26,1991.0,0012f29c3300,129446671,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_17_36_23,04_26_21_12_11_52
81.30.38.129,11.0,not_set,18507511,25,Hewlett-Packard,06_02_17_36_23,10_31_24_12_37_52
81.171.92.250,1991.0,748ef8ccb200,1256440255,0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_17_36_23,08_09_85_14_25_28
81.171.33.205,1970372420.0,No Mac indication (0x03),81508733,23,unknown,06_02_17_36_23,11_02_22_08_17_30
79.132.128.3,1970372468.0,No Mac indication (0x03),8632015,8,unknown,06_02_17_36_23,02_22_25_19_49_28
79.99.129.2,1991.0,0012f29c3300,129446801,618,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_17_36_23,04_26_21_12_09_42
81.171.91.2,1970372420.0,No Mac indication (0x03),81508823,23,unknown,06_02_17_36_23,11_02_22_08_16_00
81.171.73.2,1970372420.0,No Mac indication (0x03),81508847,23,unknown,06_02_17_36_23,11_02_22_08_15_36
81.171.93.3,1970372420.0,No Mac indication (0x03),81506077,14,unknown,06_02_17_36_23,11_02_22_09_01_46
81.171.101.254,1970372420.0,No Mac indication (0x03),81506079,14,unknown,06_02_17_36_23,11_02_22_09_01_44
81.171.64.2,1970372420.0,No Mac indication (0x03),81508869,23,unknown,06_02_17_36_23,11_02_22_08_15_14
79.99.129.65,1991.0,000cdbf9cf00,158280871,634,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_17_36_23,05_27_20_18_41_52
185.94.237.213,1970372504.0,No Mac indication (0x03),50559386,7.0,unknown,06_03_17_41_23,10_27_23_13_24_57
185.216.143.115,232.0,No Mac indication (0x03),1748963496,12.0,Compaq,06_03_17_41_23,01_01_70_02_29_47
185.110.112.225,25506.0,No Mac indication (0x03),72246046,1.0,H3C,06_03_17_41_23,02_18_23_13_20_37
185.7.99.30,1970372504.0,No Mac indication (0x03),98003668,3.0,unknown,06_03_17_41_23,04_26_22_10_26_55
185.209.39.142,232.0,No Mac indication (0x03),1748964031,12.0,Compaq,06_03_17_41_23,01_01_70_02_20_52
185.190.66.153,25506.0,No Mac indication (0x03),193974982,2.0,H3C,06_03_17_41_23,04_11_19_15_45_01
185.54.160.1,1970372352.0,No Mac indication (0x03),99130383,1.0,unknown,06_03_17_41_23,04_13_22_09_28_20
185.64.123.241,25506.0,No Mac indication (0x03),193974982,2.0,H3C,06_03_17_41_23,04_11_19_15_45_01
185.29.203.191,1970372352.0,No Mac indication (0x03),193604548,6.0,unknown,06_03_17_41_23,04_15_19_22_38_55
185.6.160.155,1991.0,609c9f45e303,65633556,26.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,05_06_23_02_08_47
185.6.51.255,2352.0,No Mac indication (0x03),58670998,13.0,"Ericsson, Inc. (formerly 'RedBack Networks')",06_03_17_41_23,07_25_23_16_11_25
185.10.156.37,1970372352.0,No Mac indication (0x03),9208346,13.0,unknown,06_03_17_41_23,02_17_25_03_48_57
185.187.12.95,1991.0,0012f29c3300,129532517,618.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,04_26_21_12_26_06
185.7.98.29,1970372504.0,No Mac indication (0x03),98003127,3.0,unknown,06_03_17_41_23,04_26_22_10_35_56
178.20.168.14,1991.0,748ef8aa3820,655943613,0.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,08_20_04_19_07_50
188.90.40.0,1344692224.0,not_set,49388089,6.0,unknown,06_03_17_41_23,11_10_23_02_46_34
185.113.85.114,1588.0,No Mac indication (0x03),44322227,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,01_07_24_17_57_36
185.6.160.131,1991.0,609c9f45e303,65633560,26.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,05_06_23_02_08_43
185.190.67.201,25506.0,No Mac indication (0x03),193974988,2.0,H3C,06_03_17_41_23,04_11_19_15_44_55
185.144.22.178,8741.0,18c2412ad0b0,8464465,5.0,"SonicWALL, Inc.",06_03_17_41_23,02_25_25_18_26_58
178.20.175.241,1970372352.0,No Mac indication (0x03),54759225,9.0,unknown,06_03_17_41_23,09_08_23_22_47_38
171.33.129.78,1991.0,002438635b00,8732267,122.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,02_22_25_16_03_36
185.190.64.89,25506.0,No Mac indication (0x03),193974988,2.0,H3C,06_03_17_41_23,04_11_19_15_44_55
188.90.30.1,1344692224.0,not_set,34257642,4.0,unknown,06_03_17_41_23,05_03_24_05_40_41
185.107.100.169,25506.0,No Mac indication (0x03),39047080,1.0,H3C,06_03_17_41_23,03_08_24_19_16_43
185.113.87.33,1588.0,No Mac indication (0x03),44318611,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,01_07_24_18_57_52
185.249.43.93,2238.0,No Mac indication (0x03),37342621,1.0,The FreeBSD Project,06_03_17_41_23,03_28_24_12_44_22
185.94.239.126,1970372468.0,No Mac indication (0x03),98003424,3.0,unknown,06_03_17_41_23,04_26_22_10_30_59
185.107.190.49,1991.0,d4bd4f349a0a,43305322,21.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,01_19_24_12_26_01
185.90.197.226,1970372420.0,No Mac indication (0x03),81507957,30.0,unknown,06_03_17_41_23,11_03_22_08_35_26
185.113.84.186,1970372352.0,No Mac indication (0x03),58570779,11.0,unknown,06_03_17_41_23,07_26_23_20_01_44
178.20.169.126,1970372352.0,No Mac indication (0x03),54759235,9.0,unknown,06_03_17_41_23,09_08_23_22_47_28
188.91.10.1,1344692224.0,not_set,49385551,6.0,unknown,06_03_17_41_23,11_10_23_03_28_52
185.90.196.243,1991.0,748ef88d0800,1578619160,0.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,05_26_75_16_22_03
185.64.120.17,25506.0,No Mac indication (0x03),193974999,2.0,H3C,06_03_17_41_23,04_11_19_15_44_44
185.173.234.77,1970372420.0,No Mac indication (0x03),21102788,4.0,unknown,06_03_17_41_23,10_02_24_11_48_15
185.107.102.157,11.0,3ce5a63b208a,117683499,11.0,Hewlett-Packard,06_03_17_41_23,09_10_21_15_49_44
185.206.233.220,232.0,No Mac indication (0x03),1748964490,33.0,Compaq,06_03_17_41_23,01_01_70_02_13_13
185.190.64.113,25506.0,No Mac indication (0x03),193975000,2.0,H3C,06_03_17_41_23,04_11_19_15_44_43
188.122.88.1,1991.0,748ef8d77300,23835847,23.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,08_31_24_20_37_16
185.113.84.195,1588.0,No Mac indication (0x03),70227990,3.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,03_13_23_21_54_53
188.91.0.0,1344692224.0,not_set,50253267,6.0,unknown,06_03_17_41_23,10_31_23_02_26_56
185.51.57.30,1588.0,No Mac indication (0x03),123061874,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_50_09
185.113.87.3,1588.0,No Mac indication (0x03),123061875,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_50_08
185.29.201.97,1970372352.0,No Mac indication (0x03),175042947,1.0,unknown,06_03_17_41_23,11_16_19_18_38_56
188.91.11.255,1344692224.0,not_set,57860400,7.0,unknown,06_03_17_41_23,08_04_23_01_21_23
185.52.55.193,1970372420.0,No Mac indication (0x03),165550442,3.0,unknown,06_03_17_41_23,03_05_20_15_27_21
185.146.106.33,1588.0,No Mac indication (0x03),69600589,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,03_21_23_04_11_34
178.170.152.199,12356.0,No Mac indication (0x03),40943077,1708021890.0,"Fortinet, Inc.",06_03_17_41_23,02_15_24_20_36_46
178.251.29.216,1970372352.0,No Mac indication (0x03),9208373,13.0,unknown,06_03_17_41_23,02_17_25_03_48_30
178.20.168.29,1970372352.0,No Mac indication (0x03),54759247,9.0,unknown,06_03_17_41_23,09_08_23_22_47_16
185.122.116.3,1588.0,No Mac indication (0x03),44318631,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,01_07_24_18_57_32
185.113.87.1,1588.0,No Mac indication (0x03),123061880,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_50_03
185.209.39.225,232.0,No Mac indication (0x03),1748963595,8.0,Compaq,06_03_17_41_23,01_01_70_02_28_08
178.170.151.55,12356.0,No Mac indication (0x03),9705158,1739258230.0,"Fortinet, Inc.",06_03_17_41_23,02_11_25_09_48_45
185.51.56.58,1588.0,No Mac indication (0x03),123061941,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_49_02
185.94.247.73,1588.0,No Mac indication (0x03),114111732,1.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,10_21_21_23_59_11
185.78.250.211,674.0,b04f1336c140,25913210,10.0,Dell Inc.,06_03_17_41_23,08_07_24_19_34_33
185.51.57.116,1588.0,No Mac indication (0x03),44322259,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,01_07_24_17_57_04
178.162.152.231,232.0,No Mac indication (0x03),53802068,3.0,Compaq,06_03_17_41_23,09_20_23_00_40_15
185.64.121.109,25506.0,No Mac indication (0x03),193975020,2.0,H3C,06_03_17_41_23,04_11_19_15_44_23
178.20.173.60,1970372352.0,No Mac indication (0x03),54759257,9.0,unknown,06_03_17_41_23,09_08_23_22_47_06
185.190.67.125,25506.0,No Mac indication (0x03),193975021,2.0,H3C,06_03_17_41_23,04_11_19_15_44_22
188.90.206.0,1344692224.0,not_set,50252042,5.0,unknown,06_03_17_41_23,10_31_23_02_47_21
175.110.116.34,6027.0,not_set,41049024,1.0,"Force10 Networks, Inc.",06_03_17_41_23,02_14_24_15_10_59
185.51.57.52,1588.0,No Mac indication (0x03),123061948,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_48_55
185.64.120.33,25506.0,No Mac indication (0x03),193975024,2.0,H3C,06_03_17_41_23,04_11_19_15_44_19
178.20.169.33,1970372352.0,No Mac indication (0x03),54759261,9.0,unknown,06_03_17_41_23,09_08_23_22_47_02
185.209.39.145,232.0,No Mac indication (0x03),1748964093,24.0,Compaq,06_03_17_41_23,01_01_70_02_19_50
185.146.106.217,1588.0,No Mac indication (0x03),114111740,1.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,10_21_21_23_59_03
185.122.117.97,1588.0,No Mac indication (0x03),10913100,5.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,01_28_25_10_16_23
185.107.102.85,11.0,3ce5a63b208a,117683525,11.0,Hewlett-Packard,06_03_17_41_23,09_10_21_15_49_18
185.190.67.69,25506.0,No Mac indication (0x03),193975028,2.0,H3C,06_03_17_41_23,04_11_19_15_44_15
178.20.168.58,1991.0,001bed3cd450,668070566,0.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,04_02_04_10_31_57
185.190.67.193,25506.0,No Mac indication (0x03),193975029,2.0,H3C,06_03_17_41_23,04_11_19_15_44_14
185.52.53.105,1970372392.0,No Mac indication (0x03),103401072,7.0,unknown,06_03_17_41_23,02_22_22_23_10_11
185.173.235.1,1970372420.0,No Mac indication (0x03),21102818,4.0,unknown,06_03_17_41_23,10_02_24_11_47_45
185.51.57.38,1588.0,No Mac indication (0x03),123061898,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_49_45
185.51.57.168,1588.0,No Mac indication (0x03),44322270,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,01_07_24_17_56_53
178.20.168.92,1970372352.0,No Mac indication (0x03),54755986,18.0,unknown,06_03_17_41_23,09_08_23_23_41_37
188.90.16.1,1344692224.0,not_set,49648398,6.0,unknown,06_03_17_41_23,11_07_23_02_28_05
185.10.156.85,1970372352.0,No Mac indication (0x03),9208394,13.0,unknown,06_03_17_41_23,02_17_25_03_48_09
185.64.121.249,25506.0,No Mac indication (0x03),193975032,2.0,H3C,06_03_17_41_23,04_11_19_15_44_11
188.90.39.255,1344692224.0,not_set,50595870,3.0,unknown,06_03_17_41_23,10_27_23_03_16_53
185.51.56.54,1588.0,No Mac indication (0x03),123061957,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_48_46
185.209.39.226,232.0,No Mac indication (0x03),1748964071,11.0,Compaq,06_03_17_41_23,01_01_70_02_20_12
178.20.175.29,1970372352.0,No Mac indication (0x03),54755989,18.0,unknown,06_03_17_41_23,09_08_23_23_41_34
185.90.199.109,1970372456.0,No Mac indication (0x03),22312870,4.0,unknown,06_03_17_41_23,09_18_24_11_40_13
185.64.121.125,25506.0,No Mac indication (0x03),193975034,2.0,H3C,06_03_17_41_23,04_11_19_15_44_09
185.190.67.41,25506.0,No Mac indication (0x03),193975034,2.0,H3C,06_03_17_41_23,04_11_19_15_44_09
185.209.39.107,11.0,70106f322bac,8642277,1.0,Hewlett-Packard,06_03_17_41_23,02_23_25_17_03_26
185.52.53.233,1970372392.0,No Mac indication (0x03),103401078,7.0,unknown,06_03_17_41_23,02_22_22_23_10_05
185.6.161.178,1991.0,609c9f45e233,65632943,16.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,05_06_23_02_19_00
185.159.230.2,1970372352.0,No Mac indication (0x03),48367781,13.0,unknown,06_03_17_41_23,11_21_23_22_11_42
185.190.66.97,25506.0,No Mac indication (0x03),193975038,2.0,H3C,06_03_17_41_23,04_11_19_15_44_05
185.6.163.226,1991.0,609c9f45e233,65632947,16.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,05_06_23_02_18_56
185.94.239.13,1970372504.0,No Mac indication (0x03),98003183,3.0,unknown,06_03_17_41_23,04_26_22_10_35_00
185.190.67.97,25506.0,No Mac indication (0x03),193975041,2.0,H3C,06_03_17_41_23,04_11_19_15_44_02
185.113.84.162,1588.0,No Mac indication (0x03),123061966,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_48_37
188.90.158.1,1344692224.0,not_set,49388144,6.0,unknown,06_03_17_41_23,11_10_23_02_45_39
178.20.175.17,1970372352.0,No Mac indication (0x03),54759279,9.0,unknown,06_03_17_41_23,09_08_23_22_46_44
185.107.82.97,11.0,3ce5a63b2355,53309977,5.0,Hewlett-Packard,06_03_17_41_23,09_25_23_17_21_46
185.107.190.13,1991.0,d4bd4f375020,40944445,12.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,02_15_24_20_13_58
185.218.39.33,25506.0,No Mac indication (0x03),194073180,1.0,H3C,06_03_17_41_23,04_10_19_12_28_23
185.90.196.241,1991.0,748ef8aa1600,1754830335,0.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,10_25_69_04_49_08
185.113.87.59,1588.0,No Mac indication (0x03),123061913,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_49_30
188.90.66.0,1344692224.0,not_set,50596744,7.0,unknown,06_03_17_41_23,10_27_23_03_02_19
185.29.200.33,1970372352.0,No Mac indication (0x03),193604584,6.0,unknown,06_03_17_41_23,04_15_19_22_38_19
185.151.61.62,1588.0,No Mac indication (0x03),48300515,27.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,11_22_23_16_52_48
185.190.64.233,25506.0,No Mac indication (0x03),193975047,2.0,H3C,06_03_17_41_23,04_11_19_15_43_56
178.251.29.218,1970372352.0,No Mac indication (0x03),9208411,13.0,unknown,06_03_17_41_23,02_17_25_03_47_52
185.107.94.79,nan,invalid,136277289,13.0,unknown,06_03_17_41_23,02_07_21_10_53_14
185.113.85.254,1588.0,No Mac indication (0x03),123061975,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_48_28
185.190.67.5,25506.0,No Mac indication (0x03),193975050,2.0,H3C,06_03_17_41_23,04_11_19_15_43_53
185.209.39.39,232.0,No Mac indication (0x03),1748964070,9.0,Compaq,06_03_17_41_23,01_01_70_02_20_13
185.64.123.209,25506.0,No Mac indication (0x03),193975051,2.0,H3C,06_03_17_41_23,04_11_19_15_43_52
185.94.238.189,1970372504.0,No Mac indication (0x03),98003194,3.0,unknown,06_03_17_41_23,04_26_22_10_34_49
185.218.36.73,25506.0,No Mac indication (0x03),194073190,1.0,H3C,06_03_17_41_23,04_10_19_12_28_13
185.41.37.153,1588.0,No Mac indication (0x03),69400112,4.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,03_23_23_11_52_51
185.190.64.153,25506.0,No Mac indication (0x03),193975054,2.0,H3C,06_03_17_41_23,04_11_19_15_43_49
185.22.15.106,4413.0,18e82926f7cb,53328111,7.0,Broadcom Limited,06_03_17_41_23,09_25_23_12_19_32
188.90.210.1,1344692224.0,not_set,60223201,3.0,unknown,06_03_17_41_23,07_07_23_17_01_22
188.90.83.255,1344692224.0,not_set,50080481,6.0,unknown,06_03_17_41_23,11_02_23_02_26_42
178.20.174.97,1970372352.0,No Mac indication (0x03),58789183,16.0,unknown,06_03_17_41_23,07_24_23_07_21_40
185.62.68.200,1970372352.0,No Mac indication (0x03),160874033,4.0,unknown,06_03_17_41_23,04_28_20_18_27_30
185.218.39.17,25506.0,No Mac indication (0x03),194073195,1.0,H3C,06_03_17_41_23,04_10_19_12_28_08
188.90.136.1,1344692224.0,not_set,50771865,3.0,unknown,06_03_17_41_23,10_25_23_02_23_38
169.150.245.93,1970372448.0,No Mac indication (0x03),16720101,3.0,unknown,06_03_17_41_23,11_22_24_05_13_02
176.126.232.173,25506.0,No Mac indication (0x03),40333788,5.0,H3C,06_03_17_41_23,02_22_24_21_51_35
185.107.103.141,11.0,3ce5a63b208a,117683561,11.0,Hewlett-Packard,06_03_17_41_23,09_10_21_15_48_42
185.51.56.39,1588.0,No Mac indication (0x03),40594537,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,02_19_24_21_25_46
185.216.143.105,232.0,No Mac indication (0x03),22702724,14.0,Compaq,06_03_17_41_23,09_13_24_23_22_39
185.51.56.202,1588.0,No Mac indication (0x03),44318684,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,01_07_24_18_56_39
185.10.158.2,1970372352.0,No Mac indication (0x03),9208428,13.0,unknown,06_03_17_41_23,02_17_25_03_47_35
178.20.170.65,1970372352.0,No Mac indication (0x03),54759302,9.0,unknown,06_03_17_41_23,09_08_23_22_46_21
185.51.56.126,1588.0,No Mac indication (0x03),123061934,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_49_09
178.20.168.57,1970372352.0,No Mac indication (0x03),58789193,16.0,unknown,06_03_17_41_23,07_24_23_07_21_30
185.110.113.161,25506.0,No Mac indication (0x03),72246132,1.0,H3C,06_03_17_41_23,02_18_23_13_19_11
178.20.168.23,1970372352.0,No Mac indication (0x03),37059267,18.0,unknown,06_03_17_41_23,03_31_24_19_26_56
178.251.29.161,1970372352.0,No Mac indication (0x03),9208430,13.0,unknown,06_03_17_41_23,02_17_25_03_47_33
185.209.39.198,232.0,No Mac indication (0x03),1748964148,8.0,Compaq,06_03_17_41_23,01_01_70_02_18_55
185.227.72.0,2352.0,No Mac indication (0x03),92418206,25.0,"Ericsson, Inc. (formerly 'RedBack Networks')",06_03_17_41_23,06_30_22_01_57_57
185.209.39.14,232.0,No Mac indication (0x03),1748963811,22.0,Compaq,06_03_17_41_23,01_01_70_02_24_32
185.117.226.245,942682160.0,not_set,79697388,12.0,unknown,06_03_17_41_23,11_24_22_07_31_35
185.122.118.57,1588.0,No Mac indication (0x03),44318691,0.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,01_07_24_18_56_32
185.209.39.229,232.0,No Mac indication (0x03),1748963617,23.0,Compaq,06_03_17_41_23,01_01_70_02_27_46
185.113.85.252,1588.0,No Mac indication (0x03),123061997,2.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,07_10_21_09_48_06
185.107.190.65,1991.0,d4bd4f3742d4,40444268,10.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_03_17_41_23,02_21_24_15_10_15
185.90.198.131,1970372420.0,No Mac indication (0x03),73631270,30.0,unknown,06_03_17_41_23,02_02_23_12_33_33
185.167.204.12,6527.0,not_set,39645878,3.0,Nokia (formerly 'Alcatel-Lucent'),06_03_17_41_23,03_01_24_20_56_45
185.94.247.81,1588.0,No Mac indication (0x03),18200597,1.0,"Brocade Communications Systems, Inc.",06_03_17_41_23,11_05_24_01_58_06
185.6.50.1,2352.0,No Mac indication (0x03),58671092,13.0,"Ericsson, Inc. (formerly 'RedBack Networks')",06_03_17_41_23,07_25_23_16_09_51
