IP,Enterprise Code,MAC,Engine Time,Engine Boots,Vendor,Scan Date,Reboot Date
193.242.210.3,1970372468.0,No Mac indication (0x03),8613402.0,8.0,unknown,06_02_12_09_05,02_22_2025_19_32_23
195.184.64.65,1991.0,00243898af00,21241012.0,66.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_12_09_05,09_29_2024_15_52_13
212.45.37.40,369629558.0,not_set,158291459.0,1.0,unknown,06_02_12_09_05,05_27_2020_10_18_06
193.242.210.254,1970372468.0,No Mac indication (0x03),8613411.0,8.0,unknown,06_02_12_09_05,02_22_2025_19_32_14
193.34.81.25,232.0,d89d675d069a,1748859696.0,4.0,Compaq,06_02_12_09_05,01_01_1970_01_47_29
198.140.141.2,1970372420.0,No Mac indication (0x03),96426226.0,1.0,unknown,06_02_12_09_05,05_13_2022_11_05_19
193.37.216.74,1970372420.0,No Mac indication (0x03),3465339.0,4.0,unknown,06_02_12_09_05,04_23_2025_09_33_26
193.37.204.91,1588.0,No Mac indication (0x03),40404141.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,02_20_2024_20_46_44
193.187.191.193,1588.0,No Mac indication (0x03),122957565.0,2.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,07_10_2021_09_16_20
194.121.13.84,16378.0,00042d0ec665,410.0,1.0,Sarian Systems Limited,06_02_12_09_05,06_02_2025_12_02_15
194.122.255.235,16378.0,00042d0de3fe,19604.0,1.0,Sarian Systems Limited,06_02_12_09_05,06_02_2025_06_42_21
193.34.81.19,232.0,No Mac indication (0x03),1748859733.0,5.0,Compaq,06_02_12_09_05,01_01_1970_01_46_52
193.187.191.42,1588.0,No Mac indication (0x03),70125187.0,6.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_13_2023_20_55_58
193.34.81.238,232.0,10604bb04e08,8748501.0,7.0,Compaq,06_02_12_09_05,02_21_2025_06_00_44
193.187.189.130,1588.0,No Mac indication (0x03),10810311.0,4.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_09_17_14
193.239.118.47,1970372352.0,No Mac indication (0x03),563287.0,21.0,unknown,06_02_12_09_05,05_26_2025_23_40_58
193.187.191.3,1588.0,No Mac indication (0x03),122957545.0,2.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,07_10_2021_09_16_40
194.26.103.10,1588.0,No Mac indication (0x03),100286318.0,1.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_29_2022_18_50_27
193.37.206.3,1588.0,No Mac indication (0x03),70125213.0,6.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_13_2023_20_55_32
194.26.103.9,1588.0,No Mac indication (0x03),100286317.0,1.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_29_2022_18_50_28
212.45.35.221,369629558.0,not_set,105686970.0,7.0,unknown,06_02_12_09_05,01_26_2022_06_39_35
212.45.37.43,369629558.0,not_set,158291539.0,1.0,unknown,06_02_12_09_05,05_27_2020_10_16_46
193.172.18.1,11.0,not_set,30683980.0,12.0,Hewlett-Packard,06_02_12_09_05,06_12_2024_08_49_25
193.34.81.177,232.0,No Mac indication (0x03),1748859731.0,20.0,Compaq,06_02_12_09_05,01_01_1970_01_46_54
195.35.220.42,11.0,not_set,9576644.0,21.0,Hewlett-Packard,06_02_12_09_05,02_11_2025_15_58_21
193.34.81.253,232.0,No Mac indication (0x03),1748859820.0,19.0,Compaq,06_02_12_09_05,01_01_1970_01_45_25
193.34.81.149,232.0,No Mac indication (0x03),1748859823.0,4.0,Compaq,06_02_12_09_05,01_01_1970_01_45_22
194.4.14.1,25506.0,20fdf1e8b804,111217438.0,1.0,H3C,06_02_12_09_05,11_23_2021_06_25_07
195.66.134.38,318.0,00c0b74d70b8,3825092.0,1289.0,American Power Conversion Corp.,06_02_12_09_05,04_19_2025_05_37_33
193.37.204.177,1588.0,No Mac indication (0x03),10808827.0,5.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_09_41_58
193.34.81.90,232.0,30e17156a33a,1748859843.0,8.0,Compaq,06_02_12_09_05,01_01_1970_01_45_02
193.34.81.30,232.0,3863bb47bc86,1748859847.0,3.0,Compaq,06_02_12_09_05,01_01_1970_01_44_58
193.108.27.252,1970372420.0,No Mac indication (0x03),81487515.0,14.0,unknown,06_02_12_09_05,11_02_2022_08_43_50
194.122.73.37,10297.0,74fe4861e82f,389966.0,1.0,"Advantech Co., Ltd.",06_02_12_09_05,05_28_2025_23_49_39
193.67.186.42,2356.0,00a0572e2282,5352847.0,5.0,LANCOM Systems,06_02_12_09_05,04_01_2025_13_14_58
195.219.194.212,942682160.0,not_set,9417339.0,1336.0,unknown,06_02_12_09_05,02_13_2025_12_13_26
194.122.131.118,10297.0,def3901f297b,386531.0,1.0,"Advantech Co., Ltd.",06_02_12_09_05,05_29_2025_00_46_54
193.37.204.81,1588.0,No Mac indication (0x03),70125310.0,6.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_13_2023_20_53_55
195.210.57.61,11.0,3ce5a678556f,194473195.0,1.0,Hewlett-Packard,06_02_12_09_05,04_04_2019_15_49_10
194.122.73.139,16378.0,00042d0e5248,20987.0,1.0,Sarian Systems Limited,06_02_12_09_05,06_02_2025_06_19_18
193.187.191.26,1588.0,No Mac indication (0x03),10810428.0,4.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_09_15_17
193.34.81.236,232.0,No Mac indication (0x03),1748859876.0,4.0,Compaq,06_02_12_09_05,01_01_1970_01_44_29
195.20.48.29,1970372392.0,No Mac indication (0x03),13712805.0,1.0,unknown,06_02_12_09_05,12_25_2024_19_02_20
195.219.136.107,942682160.0,not_set,20504970.0,1784.0,unknown,06_02_12_09_05,10_08_2024_04_19_35
195.85.161.2,3224.0,No Mac indication (0x03),26178659.0,1.0,"NetScreen Technologies, Inc.",06_02_12_09_05,08_03_2024_12_18_06
193.37.207.1,1588.0,No Mac indication (0x03),122957697.0,2.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,07_10_2021_09_14_08
193.187.191.51,1588.0,No Mac indication (0x03),44214453.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_18_21_32
