saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
92.67.75.187,3142271836,145.94.229.153,2581946001,38117,245,udp,1,161,32775,111,3065020103300e02024a69020205dc040100020103041e301c040c80000009030010f311d0e27602010202033b08ad0400040004003030040c80000009030010f311d0e2760400a81e020237f002010002010030123010060a2b060106030f0101040041020126,,,,,0,0,2025-06-02T14:10:35.286+0200,1748866235,286963
89.146.51.74,1244893785,145.94.229.153,2581946001,40279,246,udp,1,161,45671,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009ee000008e3fffc4c02011902040395be6b0400040004003031040c80000009ee000008e3fffc4c0400a81f020237f002010002010030133011060a2b060106030f0101040041030350b1,,,,,0,0,2025-06-02T14:10:35.355+0200,1748866235,355433
89.99.51.255,4281557849,145.94.229.153,2581946001,50050,243,udp,1,161,38669,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009030000a289265400020120020401d5d9e20400040004003031040c80000009030000a2892654000400a81f020237f002010002010030133011060a2b060106030f010104004103058248,,,,,0,0,2025-06-02T14:10:35.484+0200,1748866235,484130
94.213.29.1,18732382,145.94.229.153,2581946001,54907,243,udp,1,161,53448,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300d4ad710d4400020117020401a681840400040004003031040c800000090300d4ad710d44000400a81f020237f002010002010030133011060a2b060106030f010104004103050873,,,,,0,0,2025-06-02T14:10:35.549+0200,1748866235,549767
109.109.96.31,526413165,145.94.229.153,2581946001,40658,247,udp,1,161,35282,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009030028affd10b000020110020400b193d30400040004003031040c80000009030028affd10b0000400a81f020237f002010002010030133011060a2b060106030f010104004103031823,,,,,0,0,2025-06-02T14:10:35.743+0200,1748866235,743684
95.97.33.202,3391185247,145.94.229.153,2581946001,0,50,udp,1,161,33289,113,3067020103300f02024a69020300ffe3040100020103041f301d040d80001f888065b4a211ce6e1e4d0201060203042ae70400040004003030040d80001f888065b4a211ce6e1e4d0400a81d020237f00201000201003011300f060a2b060106030f0101040041010e,,,,,0,0,2025-06-02T14:10:35.908+0200,1748866235,908721
89.106.162.139,2342677081,145.94.229.153,2581946001,6341,244,udp,1,161,54270,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300a44c1100c70002012f02040112ede00400040004003030040c800000090300a44c1100c7000400a81e020237f002010002010030123010060a2b060106030f01010400410210d2,,,,,0,0,2025-06-02T14:10:35.998+0200,1748866235,998601
92.64.79.148,2488221788,145.94.229.153,2581946001,33095,244,udp,1,161,40623,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903004c776dc04b2e02010302040120ae160400040004003030040c8000000903004c776dc04b2e0400a81e020237f002010002010030123010060a2b060106030f0101040041021152,,,,,0,0,2025-06-02T14:10:36.273+0200,1748866236,273177
93.184.104.81,1365817437,145.94.229.153,2581946001,15696,245,udp,1,161,49725,112,3066020103300e02024a69020205dc040100020103041f301d040c8000000903007c69f6c508010201060204022fdee50400040004003030040c8000000903007c69f6c508010400a81e020237f002010002010030123010060a2b060106030f0101040041022926,,,,,0,0,2025-06-02T14:10:36.527+0200,1748866236,527745
92.64.58.91,1530544220,145.94.229.153,2581946001,36780,240,udp,1,161,55378,112,3066020103300e02024a69020205dc040100020103041f301d040c00000009020000024b7d8d6f02010e020400af94660400040004003030040c00000009020000024b7d8d6f0400a81e020237f002010002010030123010060a2b060106030f0101040041020b49,,,,,0,0,2025-06-02T14:10:36.591+0200,1748866236,591812
