IP,Enterprise Code,MAC,Vendor
81.171.17.182,8072.0,No Mac indication (0x03),net-snmp
82.75.73.183,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.94.215.1,6027.0,not_set,"Force10 Networks, Inc."
82.148.196.107,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
80.113.232.114,8072.0,No Mac indication (0x03),net-snmp
81.173.125.146,2011.0,84ad58aeb6e0,"HUAWEI Technology Co.,Ltd"
81.172.244.134,8072.0,1056ca1480e4,net-snmp
81.171.38.159,8072.0,No Mac indication (0x03),net-snmp
82.74.234.239,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.115.108.177,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.73.98.38,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.252.87.254,8072.0,No Mac indication (0x03),net-snmp
80.115.174.61,2863.0,No Mac indication (0x03),Thomson Inc.
82.72.153.135,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.115.103.4,2863.0,No Mac indication (0x03),Thomson Inc.
80.115.103.122,2863.0,No Mac indication (0x03),Thomson Inc.
82.72.251.158,2863.0,No Mac indication (0x03),Thomson Inc.
81.175.70.109,8072.0,No Mac indication (0x03),net-snmp
79.99.128.26,1991.0,0012f29c3300,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
79.99.134.7,674.0,a4badb8aa747,Dell Inc.
82.73.96.184,2863.0,No Mac indication (0x03),Thomson Inc.
80.113.232.117,8072.0,No Mac indication (0x03),net-snmp
81.30.38.129,11.0,not_set,Hewlett-Packard
80.113.232.62,8072.0,No Mac indication (0x03),net-snmp
82.75.44.58,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.97.63,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
77.251.75.110,2863.0,No Mac indication (0x03),Thomson Inc.
82.74.77.245,2863.0,No Mac indication (0x03),Thomson Inc.
80.112.19.251,2863.0,No Mac indication (0x03),Thomson Inc.
77.251.190.244,2863.0,No Mac indication (0x03),Thomson Inc.
81.171.92.250,1991.0,748ef8ccb200,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
80.71.227.1,1970372392.0,No Mac indication (0x03),
80.112.42.183,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.75.248.138,2863.0,No Mac indication (0x03),Thomson Inc.
81.175.70.31,8072.0,No Mac indication (0x03),net-snmp
80.115.118.99,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.72.156.20,2863.0,No Mac indication (0x03),Thomson Inc.
82.73.122.229,2863.0,No Mac indication (0x03),Thomson Inc.
82.74.180.56,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.175.70.34,8072.0,No Mac indication (0x03),net-snmp
82.72.136.22,2863.0,No Mac indication (0x03),Thomson Inc.
80.82.72.93,4413.0,fcecda46ffc5,Broadcom Limited
80.255.241.6,8072.0,No Mac indication (0x03),net-snmp
82.74.227.119,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.74.73.106,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
79.99.135.2,1991.0,0012f29c3300,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
79.132.129.17,1970372468.0,No Mac indication (0x03),
81.175.70.121,8072.0,No Mac indication (0x03),net-snmp
81.171.33.205,1970372420.0,No Mac indication (0x03),
81.175.70.51,8072.0,No Mac indication (0x03),net-snmp
80.249.214.79,2011.0,2841eceae490,"HUAWEI Technology Co.,Ltd"
80.115.64.130,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.72.131.68,2863.0,No Mac indication (0x03),Thomson Inc.
80.113.232.87,8072.0,No Mac indication (0x03),net-snmp
80.114.251.188,2863.0,No Mac indication (0x03),Thomson Inc.
80.112.245.17,13191.0,70fc8c161386,OneAccess
80.114.245.121,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.112.89.169,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.57.86.209,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.124.93,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
80.112.223.225,13191.0,70fc8c13ad1f,OneAccess
79.132.128.3,1970372468.0,No Mac indication (0x03),
80.115.85.3,2863.0,No Mac indication (0x03),Thomson Inc.
81.30.44.189,1991.0,002438635b00,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
81.173.124.39,8072.0,No Mac indication (0x03),net-snmp
81.175.70.61,8072.0,No Mac indication (0x03),net-snmp
82.101.228.231,2863.0,No Mac indication (0x03),Thomson Inc.
82.74.229.153,2863.0,No Mac indication (0x03),Thomson Inc.
80.112.247.7,2011.0,a0a33b3d933f,"HUAWEI Technology Co.,Ltd"
80.114.52.46,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.114.91.43,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.113.232.99,8072.0,No Mac indication (0x03),net-snmp
82.73.69.154,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.174.212.1,1344692224.0,not_set,
80.114.251.106,2863.0,No Mac indication (0x03),Thomson Inc.
80.114.57.96,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.51.23,2011.0,e8681968813a,"HUAWEI Technology Co.,Ltd"
80.57.12.180,2863.0,No Mac indication (0x03),Thomson Inc.
80.85.244.6,8072.0,No Mac indication (0x03),net-snmp
82.74.180.57,2863.0,No Mac indication (0x03),Thomson Inc.
80.242.224.154,8072.0,No Mac indication (0x03),net-snmp
82.75.241.137,2863.0,No Mac indication (0x03),Thomson Inc.
79.141.164.188,14988.0,No Mac indication (0x03),MikroTik
81.173.50.253,2011.0,e86819a37a38,"HUAWEI Technology Co.,Ltd"
79.99.129.2,1991.0,0012f29c3300,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
81.172.248.55,8072.0,No Mac indication (0x03),net-snmp
79.99.132.134,1991.0,0012f29c3300,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
82.74.73.108,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.125.10,2011.0,40eeddb2fb52,"HUAWEI Technology Co.,Ltd"
82.75.118.23,2863.0,No Mac indication (0x03),Thomson Inc.
82.72.192.142,2863.0,No Mac indication (0x03),Thomson Inc.
82.75.224.81,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.79.112,2011.0,fcbcd195223b,"HUAWEI Technology Co.,Ltd"
80.113.232.46,8072.0,No Mac indication (0x03),net-snmp
81.171.7.43,8072.0,No Mac indication (0x03),net-snmp
79.99.128.66,1991.0,0012f29c3300,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
81.171.91.2,1970372420.0,No Mac indication (0x03),
82.74.202.237,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.77.90,2011.0,80b5752cf244,"HUAWEI Technology Co.,Ltd"
81.23.236.208,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
81.29.200.190,232.0,No Mac indication (0x03),Compaq
80.112.233.121,13191.0,70fc8c58a9b0,OneAccess
81.175.70.117,8072.0,No Mac indication (0x03),net-snmp
82.72.18.64,2863.0,No Mac indication (0x03),Thomson Inc.
80.114.217.142,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.249.212.41,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
80.113.232.122,8072.0,No Mac indication (0x03),net-snmp
81.175.70.66,8072.0,No Mac indication (0x03),net-snmp
81.173.59.35,8072.0,No Mac indication (0x03),net-snmp
82.73.133.240,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.115.240.131,8072.0,No Mac indication (0x03),net-snmp
80.242.226.162,2021.0,No Mac indication (0x03),"U.C. Davis, ECE Dept. Tom"
81.173.125.11,2011.0,40eeddb2fbf7,"HUAWEI Technology Co.,Ltd"
80.114.244.7,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.171.73.2,1970372420.0,No Mac indication (0x03),
81.29.200.230,232.0,No Mac indication (0x03),Compaq
81.171.37.252,1970372420.0,No Mac indication (0x03),
82.74.198.196,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.174.241.0,1344692224.0,not_set,
81.175.70.98,8072.0,No Mac indication (0x03),net-snmp
80.114.25.123,2863.0,No Mac indication (0x03),Thomson Inc.
77.250.223.81,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.171.93.3,1970372420.0,No Mac indication (0x03),
81.171.101.254,1970372420.0,No Mac indication (0x03),
80.114.57.93,2863.0,No Mac indication (0x03),Thomson Inc.
82.169.18.21,nan,invalid,
81.171.64.2,1970372420.0,No Mac indication (0x03),
81.175.64.129,2011.0,3ce8243460ca,"HUAWEI Technology Co.,Ltd"
80.113.232.123,8072.0,No Mac indication (0x03),net-snmp
82.75.252.28,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.75.69.234,2863.0,No Mac indication (0x03),Thomson Inc.
82.72.201.170,2863.0,No Mac indication (0x03),Thomson Inc.
80.112.204.177,13191.0,70fc8c687460,OneAccess
82.72.79.109,2863.0,No Mac indication (0x03),Thomson Inc.
80.114.109.132,2863.0,No Mac indication (0x03),Thomson Inc.
