IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
185.187.12.41,80000a4c01b9bb0c0a,27,30176966,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
185.253.48.207,8000000903004ce175712980,36,12423,9.0,004ce175712980,ciscoSystems
185.221.158.169,80000009030084b8025dc000,22,71859709,9.0,0084b8025dc000,ciscoSystems
192.83.120.52,80000009030084b517941a01,8,52889559,9.0,0084b517941a01,ciscoSystems
185.6.207.7,800000090300c4f7d5961700,14,19197505,9.0,00c4f7d5961700,ciscoSystems
185.107.56.184,80001f88805da0c177d2ef686500000000,4,3625539,8072.0,No Mac indication (0x03),net-snmp
185.34.176.192,800000090300001cf6ec4501,12,70123402,9.0,00001cf6ec4501,ciscoSystems
185.44.94.18,800000090300881dfcd3e300,18,46528899,9.0,00881dfcd3e300,ciscoSystems
188.92.60.64,80000009030070ca9b5b8e50,11,34145116,9.0,0070ca9b5b8e50,ciscoSystems
159.100.101.201,800000090300802dbf6f1000,22,20127204,9.0,00802dbf6f1000,ciscoSystems
188.92.62.239,800000090300442b03aa3ec0,11,37520582,9.0,00442b03aa3ec0,ciscoSystems
159.100.81.188,80000009030034b883750a80,14,7098060,9.0,0034b883750a80,ciscoSystems
185.85.211.92,80000009030000351a058a80,1,8338997,9.0,0000351a058a80,ciscoSystems
185.254.42.48,800000090300f872eac14f96,2,49946603,9.0,00f872eac14f96,ciscoSystems
188.200.190.73,800000090300a4530e6f16a0,2,35002812,9.0,00a4530e6f16a0,ciscoSystems
185.34.170.68,800000090300a84fb1b2df80,14,33834119,9.0,00a84fb1b2df80,ciscoSystems
159.100.107.120,800000090300e069baf57880,14,5348838,9.0,00e069baf57880,ciscoSystems
185.226.78.231,8000000903006c8bd3ebcc80,69,4477279,9.0,006c8bd3ebcc80,ciscoSystems
185.110.112.97,800063a280784859ec97cd00000001,1,72145430,25506.0,No Mac indication (0x03),H3C
159.100.65.97,800000090300c014fe453580,36,12020040,9.0,00c014fe453580,ciscoSystems
157.97.194.57,80000009030000a38e2a97f8,19,2335263,9.0,0000a38e2a97f8,ciscoSystems
188.90.38.0,502660000000010030000138,3,50495203,1344692224.0,not_set,
188.204.62.55,80000009030000a6cad27208,2,2974,9.0,0000a6cad27208,ciscoSystems
185.142.249.224,8000000903002c36f8b39c01,2,143084151,9.0,002c36f8b39c01,ciscoSystems
188.201.141.72,80000009030000fec8ecdf60,2,38254582,9.0,0000fec8ecdf60,ciscoSystems
185.89.154.225,800000090300d4e880f60e00,33,59734131,9.0,00d4e880f60e00,ciscoSystems
188.92.56.170,800000090300d48cb519dfd0,7,6128694,9.0,00d48cb519dfd0,ciscoSystems
185.26.58.151,800000090300b0c53ce4ad80,34,32444001,9.0,00b0c53ce4ad80,ciscoSystems
192.83.120.174,8000000903006cab05384d00,10,69868439,9.0,006cab05384d00,ciscoSystems
185.62.119.144,000000090300cced4dbbb7d0,3,7067203,9.0,not_set,ciscoSystems
185.37.64.174,0000000903005c3e06c2ab20,3,34393922,9.0,not_set,ciscoSystems
185.92.71.88,800000090300a8b456bd3180,8,202862227,9.0,00a8b456bd3180,ciscoSystems
178.162.144.51,80001f8880533f9446c624356300000000,13,4526068,8072.0,No Mac indication (0x03),net-snmp
185.209.39.93,800000e804435a333731324e304d42,35,1748863225,232.0,No Mac indication (0x03),Compaq
185.113.214.14,800000090300a03d6e4c0c80,12,28489023,9.0,00a03d6e4c0c80,ciscoSystems
185.144.104.7,800000090300802dbfac5880,5,47036226,9.0,00802dbfac5880,ciscoSystems
178.250.197.234,800000090300f0f755dc4281,7,3206454,9.0,00f0f755dc4281,ciscoSystems
188.90.195.1,502660000000010030000050,6,49891416,1344692224.0,not_set,
185.241.213.223,80001f888084314f42dcdb836600000000,253,2973614,8072.0,No Mac indication (0x03),net-snmp
188.227.206.193,80003a8c04,0,0,,invalid,
185.26.56.55,800000090300a84fb1b2df80,14,33834120,9.0,00a84fb1b2df80,ciscoSystems
157.97.208.209,80000009030070ca9b6bfaa0,26,44680094,9.0,0070ca9b6bfaa0,ciscoSystems
185.46.31.248,800000090300a0e0afbee4a8,53,11835973,9.0,00a0e0afbee4a8,ciscoSystems
185.34.178.26,800000090300588b1c9a9400,4,36200474,9.0,00588b1c9a9400,ciscoSystems
171.33.133.56,80000009030034ed1bdffa80,11,60966139,9.0,0034ed1bdffa80,ciscoSystems
185.157.120.201,8000000903e02f6d450cc0,0,0,9.0,e02f6d450cc0,ciscoSystems
185.148.43.1,8000000903d8b190869600,0,0,9.0,d8b190869600,ciscoSystems
185.23.214.65,80000a4c030c599c5c7100,4,55971397,2636.0,0c599c5c7100,"Juniper Networks, Inc."
185.26.57.25,800000090300b0c53ce4ac80,10,31243265,9.0,00b0c53ce4ac80,ciscoSystems
185.78.250.211,800002a203b04f1336c140,10,25812560,674.0,b04f1336c140,Dell Inc.
185.89.153.33,800000090300d4e880f63b00,6,99657311,9.0,00d4e880f63b00,ciscoSystems
178.238.12.28,80000009030030e4dbf95edf,35,18464279,9.0,0030e4dbf95edf,ciscoSystems
178.208.73.2,800000090330f70d9ee0e0,0,0,9.0,30f70d9ee0e0,ciscoSystems
188.90.191.255,502660000000010030000010,6,49546260,1344692224.0,not_set,
185.20.68.254,800028b20300e0861c89fa,1,18880462,10418.0,00e0861c89fa,Avocent Corporation
188.206.10.196,800030440446475436304534513136303732333633,1738027083,10836257,12356.0,No Mac indication (0x03),"Fortinet, Inc."
185.254.41.138,0000000903005c3e06c2abe6,9,25096849,9.0,not_set,ciscoSystems
185.138.210.169,80003a8c04,0,0,,invalid,
157.97.208.32,8000000903009077ee624980,14,42943346,9.0,009077ee624980,ciscoSystems
185.34.178.185,800000090300b83861ad2704,2,51423047,9.0,00b83861ad2704,ciscoSystems
185.199.191.193,800000090300707db9d12006,3,1688363,9.0,00707db9d12006,ciscoSystems
159.100.99.233,800000090300bce712a01700,26,1654870,9.0,00bce712a01700,ciscoSystems
185.143.158.240,80000009030000c88bfbdd00,8,41004003,9.0,0000c88bfbdd00,ciscoSystems
185.64.123.169,800063a280ec9b8b8dc8b000000001,2,193874367,25506.0,No Mac indication (0x03),H3C
185.127.184.51,800000090300000000000000,18,25388727,9.0,00000000000000,ciscoSystems
185.134.56.194,80003a8c04,0,0,,invalid,
185.42.85.15,80000009030000a2eea92300,36,54526711,9.0,0000a2eea92300,ciscoSystems
185.36.134.80,8000000903000023330ccf5e,13,3272167,9.0,000023330ccf5e,ciscoSystems
185.221.159.134,0000000903005c3e06c2ab20,3,34393924,9.0,not_set,ciscoSystems
185.3.179.22,800000090300a44c115eb240,555,16834232,9.0,00a44c115eb240,ciscoSystems
185.133.36.239,80003a8c04,0,0,,invalid,
185.205.240.9,8000000903006c310ec2af00,6,9935880,9.0,006c310ec2af00,ciscoSystems
185.46.29.90,8000000903002436dae71700,25,54702455,9.0,002436dae71700,ciscoSystems
185.142.249.97,80000009030064a0e71cb481,15,57280467,9.0,0064a0e71cb481,ciscoSystems
185.203.190.200,800000090300e44e2deeac80,12,2202459,9.0,00e44e2deeac80,ciscoSystems
192.87.16.4,00000009020000d0026d7800,10,14362574,9.0,not_set,ciscoSystems
185.140.224.221,00000009020000024b7d8d6f,11,32661502,9.0,not_set,ciscoSystems
185.133.36.6,80003a8c04,0,0,,invalid,
185.7.99.110,f5717f985d82179aa500,3,97903055,1970372504.0,No Mac indication (0x03),
159.100.91.201,80000009030078f1c68e9e80,8,19005000,9.0,0078f1c68e9e80,ciscoSystems
176.126.234.129,80003a8c04,0,0,,invalid,
185.233.90.80,800000090300ac4a6754ee00,38,5446270,9.0,00ac4a6754ee00,ciscoSystems
159.100.83.2,800033870370fc8c099f40,0,0,13191.0,70fc8c099f40,OneAccess
188.204.252.24,80000009030058ac781d99b4,2,30417961,9.0,0058ac781d99b4,ciscoSystems
185.26.58.149,800000090300b0c53ce4ad80,34,32444003,9.0,00b0c53ce4ad80,ciscoSystems
185.26.56.123,800000090300482e72fe6980,16,12333132,9.0,00482e72fe6980,ciscoSystems
185.82.140.45,80000009030070695a2b2580,13,156345279,9.0,0070695a2b2580,ciscoSystems
185.62.118.150,800000090300ac3a67b58890,16,65012027,9.0,00ac3a67b58890,ciscoSystems
185.221.156.76,80000009030078da6e4f28c2,1,3041425,9.0,0078da6e4f28c2,ciscoSystems
185.51.57.34,80000634b20400001014ccd196,2,122961236,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
185.62.117.153,000000090300cced4dbbf610,3,7066738,9.0,not_set,ciscoSystems
185.197.191.120,8000000903000018183b4a81,57,1768162,9.0,000018183b4a81,ciscoSystems
185.205.241.112,800000090300f04a02922b00,10,1208630,9.0,00f04a02922b00,ciscoSystems
185.254.41.124,800000090300000000000000,1,83905240,9.0,00000000000000,ciscoSystems
178.238.111.242,80001f8880c2f670031f000000,1,23765132,8072.0,No Mac indication (0x03),net-snmp
185.6.205.225,800000090300bc1665d7a328,2,11317734,9.0,00bc1665d7a328,ciscoSystems
185.226.76.215,800000090300f8e57e742500,10,19654060,9.0,00f8e57e742500,ciscoSystems
188.120.33.168,80001f88808b588364f4ab6e60,36,24055349,8072.0,No Mac indication (0x03),net-snmp
159.100.120.113,80000009030044b6be756e80,28,10970793,9.0,0044b6be756e80,ciscoSystems
185.134.66.123,0000197f000084262be7c78b,30,299525,6527.0,not_set,Nokia (formerly 'Alcatel-Lucent')
185.234.153.98,80002225032cb8ed6c150c,5,7791223,8741.0,2cb8ed6c150c,"SonicWALL, Inc."
176.74.229.66,800000090300b4de31dca40e,1,138678076,9.0,00b4de31dca40e,ciscoSystems
185.226.79.92,800000090300f8e57e742780,12,21630030,9.0,00f8e57e742780,ciscoSystems
185.26.56.96,800000090300482e72fe6980,16,12333133,9.0,00482e72fe6980,ciscoSystems
