ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
37.114.92.172,800000090300588b1c9bfa00,4,21591027,9,00588b1c9bfa00
45.93.75.135,8000000903002cd02df87c00,12,47199451,9,002cd02df87c00
37.114.89.249,800000090300588b1c9ca080,13,22116923,9,00588b1c9ca080
84.105.242.94,8000124c057429af32b46533,126,2863615,4684,No Mac indication (0x03)
84.241.129.179,80000009030000c88b2c9b00,15,71415365,9,0000c88b2c9b00
85.146.201.53,8000000903002cf89bf46680,51,1725285,9,002cf89bf46680
83.98.224.253,800000090300b0c53ce4ad80,34,31929169,9,00b0c53ce4ad80
46.144.112.225,800000090300004268d3f0c6,1,13752231,9,00004268d3f0c6
81.173.73.95,80000009030078bc1a037fa7,5,46296714,9,0078bc1a037fa7
5.172.218.136,80000009030010f311eebac0,14,7339442,9,0010f311eebac0
83.167.221.105,800000090300d47798744d00,22,7904559,9,00d47798744d00
77.60.243.181,8000000903006c416a2b8726,7,1340111,9,006c416a2b8726
83.81.176.255,800000090300002790fe1000,10,30198528,9,00002790fe1000
46.144.114.33,800000090300843dc69e31f2,3,14382062,9,00843dc69e31f2
46.144.212.184,80000009030000f663846194,2,103433880,9,0000f663846194
46.145.32.183,800000090300002a108ab9c8,1,63250132,9,00002a108ab9c8
81.173.51.205,800000090300c44d84bf0a80,20,46393549,9,00c44d84bf0a80
77.62.161.181,80001f8880e7ae1e1027c72d68,1,520776,8072,No Mac indication (0x03)
62.200.74.127,8000000903002cd02d6f6d00,5,110768222,9,002cd02d6f6d00
84.25.9.255,8000000903006c410e51c800,53,9103295,9,006c410e51c800
46.144.185.145,80000009030070db988348f0,3,59099003,9,0070db988348f0
84.25.197.255,8000000903006c410e716000,30,27777547,9,006c410e716000
85.17.10.171,80001f8880fe4ebe62e76f3c5e00000000,35,10139559,8072,No Mac indication (0x03)
23.109.80.29,80001f88802bfef0291dc5eb62,39,1554767,8072,No Mac indication (0x03)
31.160.222.192,800000090300843dc6cfa1e8,5,674128,9,00843dc6cfa1e8
31.3.14.147,800007c703748ef8621780,139,29465092,1991,748ef8621780
37.26.227.166,80000009030010a8293ee581,2,62909664,9,0010a8293ee581
80.112.5.47,8000124c0570778190309d33,142,431381,4684,No Mac indication (0x03)
82.75.234.1,800000090300d4ad710dc800,12,27085594,9,00d4ad710dc800
77.61.86.116,800000090300780cf0ea4772,4,60963793,9,00780cf0ea4772
83.85.17.0,8000000903006c410e153000,10,33133936,9,006c410e153000
77.242.115.129,80000009030034ed1bfd4100,34,10277270,9,0034ed1bfd4100
85.146.244.105,8000000903003891b7a46d80,26,3728652,9,003891b7a46d80
31.3.9.153,800000090300d4e880f60e00,33,59219301,9,00d4e880f60e00
78.152.47.220,800007c703cc4e24d0a400,20,66910686,1991,cc4e24d0a400
45.80.100.111,800011ae05a42b8c2b2ab833,378,237969,4526,No Mac indication (0x03)
77.243.239.159,8000000903000005740fb2bc,8,191948074,9,000005740fb2bc
80.114.75.216,8000124c05906ebbd4bea433,287,3195518,4684,No Mac indication (0x03)
84.106.38.202,8000124c05906ebbd9af4c33,225,2226010,4684,No Mac indication (0x03)
81.4.112.166,800000090300001873b8540c,6,340514602,9,00001873b8540c
