IP,Enterprise Code,MAC,Vendor
93.117.192.24,9,00ccd8c10fd583,ciscoSystems
143.179.122.1,1344692224,not_set,
94.190.200.153,invalid,invalid,
109.109.106.113,9,00b0c53ce4ad80,ciscoSystems
87.212.192.1,1344692224,not_set,
92.68.221.42,2636,No Mac indication (0x03),"Juniper Networks, Inc."
92.108.139.1,9,0000a289271400,ciscoSystems
145.128.244.50,9,No Mac indication (0x03),ciscoSystems
87.215.60.62,invalid,invalid,
94.209.190.1,9,0000a289271800,ciscoSystems
87.209.151.1,1344692224,not_set,
92.64.67.0,9,0028ac9ec31c30,ciscoSystems
95.99.55.255,1344692224,not_set,
145.131.108.105,9,002cd02d2118f0,ciscoSystems
94.215.53.1,9,00285261fabc00,ciscoSystems
92.66.81.250,8072,1056ca1720c0,net-snmp
145.131.228.73,9,00c89c1d544bea,ciscoSystems
87.213.235.181,8072,No Mac indication (0x03),net-snmp
109.109.102.4,9,007c210e058c80,ciscoSystems
93.190.139.25,8072,No Mac indication (0x03),net-snmp
92.67.91.105,9,00a8b456e158a8,ciscoSystems
94.103.156.127,9,000005740fb2bc,ciscoSystems
93.117.236.137,2011,cc208cbc1130,"HUAWEI Technology Co.,Ltd"
145.145.19.250,9,004ce1756bc260,ciscoSystems
94.142.214.176,9,0058ac78269080,ciscoSystems
87.210.220.1,1344692224,not_set,
134.19.179.73,2636,ec3873d5382c,"Juniper Networks, Inc."
89.20.186.38,9,00d4789bf79a10,ciscoSystems
92.65.182.178,9,005ca62d158380,ciscoSystems
93.117.224.79,2011,488eeffa058b,"HUAWEI Technology Co.,Ltd"
95.99.140.1,1344692224,not_set,
87.212.218.1,1344692224,not_set,
93.92.24.181,9,not_set,ciscoSystems
89.149.197.83,8072,No Mac indication (0x03),net-snmp
95.128.2.114,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
145.131.122.139,8072,No Mac indication (0x03),net-snmp
109.109.96.136,9,00b0c53ce4d080,ciscoSystems
92.64.46.164,9,not_set,ciscoSystems
154.14.7.151,9,00ecf40c782d90,ciscoSystems
144.178.227.31,9,00c067af524c71,ciscoSystems
92.64.109.213,9,not_set,ciscoSystems
89.20.94.39,9,004c776dc08bde,ciscoSystems
92.68.212.23,9,002c1a05ff1f80,ciscoSystems
87.212.136.1,1344692224,not_set,
151.236.148.142,9,006879098dac01,ciscoSystems
92.67.208.56,9,0064f69daf0cab,ciscoSystems
94.228.128.30,9,0024e9b3e23d18,ciscoSystems
109.109.108.97,9,00e8eb34c9fd00,ciscoSystems
92.65.105.31,9,006cd6e31f5500,ciscoSystems
89.21.160.95,9,005475d074048c,ciscoSystems
143.179.104.1,1344692224,not_set,
91.223.124.65,9,00005056be6995,ciscoSystems
92.68.5.1,8072,No Mac indication (0x03),net-snmp
109.236.83.71,8072,No Mac indication (0x03),net-snmp
89.20.75.28,8072,No Mac indication (0x03),net-snmp
145.220.141.106,8072,No Mac indication (0x03),net-snmp
95.211.253.5,invalid,invalid,
95.99.235.255,1344692224,not_set,
94.142.212.111,9,0000260b7a5c62,ciscoSystems
88.208.41.254,9,2c4f52fc16bc,ciscoSystems
93.117.228.22,9,00889caddbbf80,ciscoSystems
91.232.114.125,9,00b0aa7727b000,ciscoSystems
145.128.242.74,9,No Mac indication (0x03),ciscoSystems
93.117.237.9,2011,cc208cbc0e8c,"HUAWEI Technology Co.,Ltd"
92.110.27.0,9,000029c2017000,ciscoSystems
93.117.216.240,9,00d009c83a8480,ciscoSystems
87.255.41.195,8072,No Mac indication (0x03),net-snmp
109.109.107.41,9,00e8eb34c9fd00,ciscoSystems
94.127.97.62,9,00002255ec60d8,ciscoSystems
92.70.16.177,12356,No Mac indication (0x03),"Fortinet, Inc."
92.64.176.233,9,004c710dd93444,ciscoSystems
145.131.144.49,9,002c5741b5ac00,ciscoSystems
145.128.184.80,9,00845a3e241b80,ciscoSystems
93.92.30.183,9,not_set,ciscoSystems
87.236.3.31,9,0078da6eb04cf0,ciscoSystems
