IP,Enterprise Code,MAC,Vendor
46.144.237.24,9,0000c88b8d87a0,ciscoSystems
46.144.223.1,9,00bc26c7477f9e,ciscoSystems
82.75.84.55,4684,No Mac indication (0x03),Ambit Microsystems Corporation
31.151.176.172,2863,No Mac indication (0x03),Thomson Inc.
37.153.208.171,9,0010f920923918,ciscoSystems
84.31.163.31,4684,No Mac indication (0x03),Ambit Microsystems Corporation
84.241.138.67,9,5c3e06e10938,ciscoSystems
37.74.31.247,9,00d8b190f69784,ciscoSystems
82.72.237.1,9,00a0f8496a1800,ciscoSystems
81.173.77.172,9,005c710d346d80,ciscoSystems
46.231.19.163,9,0024161b381a80,ciscoSystems
83.167.219.47,9,00f8a73aeae500,ciscoSystems
84.241.145.33,9,00ecbd1db3a5e0,ciscoSystems
85.146.241.105,2011,488eeffa0aac,"HUAWEI Technology Co.,Ltd"
84.31.2.130,2863,No Mac indication (0x03),Thomson Inc.
81.173.57.68,9,0000fd22080180,ciscoSystems
83.82.160.180,4684,No Mac indication (0x03),Ambit Microsystems Corporation
37.143.84.241,9,not_set,ciscoSystems
62.207.0.129,9,0080e01d458b8a,ciscoSystems
81.21.141.119,9,0000fcbaf5dc7c,ciscoSystems
31.160.241.20,9,0000f663ac28d4,ciscoSystems
46.44.165.145,9,000081c4b302ec,ciscoSystems
84.105.178.197,2863,No Mac indication (0x03),Thomson Inc.
82.174.254.1,1344692224,not_set,
83.87.39.59,4684,No Mac indication (0x03),Ambit Microsystems Corporation
84.25.225.74,4684,No Mac indication (0x03),Ambit Microsystems Corporation
80.112.246.196,9,00d824bdb73f01,ciscoSystems
37.74.91.9,9,0000fd22277920,ciscoSystems
81.85.161.19,9,00a0e0affeb600,ciscoSystems
84.27.192.0,9,000029c2016c00,ciscoSystems
81.173.33.213,9,0078bc1a037ed7,ciscoSystems
46.144.224.215,9,006cb2aed26e16,ciscoSystems
31.160.112.97,9,0028ac9ec39438,ciscoSystems
80.115.172.1,9,00285261fac000,ciscoSystems
5.83.7.62,2636,No Mac indication (0x03),"Juniper Networks, Inc."
83.84.24.109,4684,No Mac indication (0x03),Ambit Microsystems Corporation
80.56.37.255,9,00f4bd9ee3f000,ciscoSystems
85.146.227.205,13191,70fc8c144c05,OneAccess
80.115.130.124,2863,No Mac indication (0x03),Thomson Inc.
31.3.9.225,9,00d4e880f64700,ciscoSystems
45.84.4.2,9,6c416a637be0,ciscoSystems
81.4.74.53,9,00001873b8540c,ciscoSystems
77.61.66.92,9,0000fd2214c004,ciscoSystems
77.242.120.79,9,00b08bcf197a80,ciscoSystems
81.92.186.56,9,00e4aa5dc51d4a,ciscoSystems
85.146.220.117,9,0044b6be9b0800,ciscoSystems
46.144.168.225,9,006887c6295900,ciscoSystems
46.144.72.1,9,00502fa892ca30,ciscoSystems
83.98.232.17,9,007c210e058c80,ciscoSystems
62.148.160.25,9,d0e042adaf40,ciscoSystems
37.18.16.101,14988,No Mac indication (0x03),MikroTik
31.151.242.124,invalid,invalid,
77.61.153.55,9,00a89d217e9114,ciscoSystems
85.17.18.174,8072,No Mac indication (0x03),net-snmp
81.173.58.9,9,00ec01d51be880,ciscoSystems
46.144.134.72,9,00002a10aad750,ciscoSystems
83.98.237.208,9,00b0c53ce4ac80,ciscoSystems
31.160.169.145,9,0000a2ee51baf0,ciscoSystems
82.75.192.1,9,007018a7662400,ciscoSystems
81.173.124.145,2636,No Mac indication (0x03),"Juniper Networks, Inc."
83.98.237.123,invalid,invalid,
37.235.112.96,9,00649ef3815a20,ciscoSystems
81.173.77.85,9,00b8a3779b0600,ciscoSystems
83.82.102.110,2863,No Mac indication (0x03),Thomson Inc.
83.80.173.51,4684,No Mac indication (0x03),Ambit Microsystems Corporation
62.112.251.121,9,not_set,ciscoSystems
84.105.10.34,2863,No Mac indication (0x03),Thomson Inc.
62.179.23.114,9,004c776d8f8300,ciscoSystems
80.112.75.255,9,000027900c8c00,ciscoSystems
31.161.39.209,9,00a00f37789750,ciscoSystems
80.113.232.46,8072,No Mac indication (0x03),net-snmp
83.81.44.194,2863,No Mac indication (0x03),Thomson Inc.
84.26.188.59,4684,No Mac indication (0x03),Ambit Microsystems Corporation
46.144.215.167,9,000062eceb3cd0,ciscoSystems
46.144.227.151,9,0000f28bb55e24,ciscoSystems
31.149.138.121,9,00c4f7d52387ca,ciscoSystems
80.115.87.125,4684,No Mac indication (0x03),Ambit Microsystems Corporation
46.183.250.91,8072,No Mac indication (0x03),net-snmp
83.83.232.191,4684,No Mac indication (0x03),Ambit Microsystems Corporation
77.60.206.85,9,00f80bcbacf37c,ciscoSystems
31.149.4.176,9,00a8b4564ec88c,ciscoSystems
82.75.137.52,4684,No Mac indication (0x03),Ambit Microsystems Corporation
46.144.205.129,9,00003a7d78e218,ciscoSystems
37.153.206.181,9,00fc5b39d5c648,ciscoSystems
62.165.69.129,9,5c3e06e10a64,ciscoSystems
83.82.86.255,9,00285261fb6400,ciscoSystems
45.91.122.86,8072,No Mac indication (0x03),net-snmp
31.160.112.185,9,00cc46d606fc46,ciscoSystems
31.160.163.121,9,00d4789b793700,ciscoSystems
83.232.76.57,9,0000f28bb4f712,ciscoSystems
83.143.187.158,9,2c3311a412f0,ciscoSystems
46.144.228.130,9,00ecf40c69eda0,ciscoSystems
31.160.217.153,9,0000c88bacd50c,ciscoSystems
84.104.14.255,9,00285261293c00,ciscoSystems
31.149.41.76,9,0000f663ac27d0,ciscoSystems
85.146.204.209,9,004ce175f9f200,ciscoSystems
83.81.40.6,2863,No Mac indication (0x03),Thomson Inc.
80.115.148.0,9,00002790fe1000,ciscoSystems
83.167.217.117,9,0044b6be851080,ciscoSystems
80.113.248.226,9,005c64f1f32f00,ciscoSystems
83.167.205.60,9,00c0f87fc0ab00,ciscoSystems
46.144.32.72,9,0000351a2555a4,ciscoSystems
83.167.220.185,9,0074ad98583800,ciscoSystems
83.85.131.1,9,00a0f8496a1800,ciscoSystems
83.81.13.97,4684,No Mac indication (0x03),Ambit Microsystems Corporation
82.150.138.4,9,780cf0264540,ciscoSystems
62.165.74.113,9,5cb12e9f504c,ciscoSystems
46.144.175.17,9,000042683b5bd0,ciscoSystems
81.175.70.112,8072,No Mac indication (0x03),net-snmp
45.93.87.118,9,00ec01d5968801,ciscoSystems
84.28.243.255,9,0034f8e758d800,ciscoSystems
31.160.184.9,9,001cfc17505800,ciscoSystems
85.223.108.0,1344692224,not_set,
37.114.93.239,9,00f872eae8ec58,ciscoSystems
77.62.160.73,9,004c5d3c07d980,ciscoSystems
46.44.186.13,9,00000bbf270000,ciscoSystems
45.11.166.237,9,00bc26c7dff4af,ciscoSystems
80.115.94.1,9,000029c200ac00,ciscoSystems
80.113.68.193,9,00dcf71977f201,ciscoSystems
45.138.151.129,9,006cb2aeb12980,ciscoSystems
84.27.130.27,2863,No Mac indication (0x03),Thomson Inc.
46.226.56.149,9,not_set,ciscoSystems
24.132.221.1,9,00f4bd9ee3f000,ciscoSystems
46.144.135.33,9,004c776d1f8af2,ciscoSystems
82.73.98.38,4684,No Mac indication (0x03),Ambit Microsystems Corporation
85.222.241.170,9,00d4e88083fe00,ciscoSystems
31.3.9.247,9,0058ac78269080,ciscoSystems
45.91.69.39,9,00c067af3fb5a4,ciscoSystems
84.26.92.42,2863,No Mac indication (0x03),Thomson Inc.
77.251.175.0,9,0000a289267000,ciscoSystems
77.242.117.84,9,0070ca9b29d2b0,ciscoSystems
62.194.66.255,9,0000ebd5ed3c00,ciscoSystems
31.160.186.104,9,003890a56f86a0,ciscoSystems
83.98.252.109,9,0024169dbaf400,ciscoSystems
84.107.64.26,4684,No Mac indication (0x03),Ambit Microsystems Corporation
84.28.18.167,4684,No Mac indication (0x03),Ambit Microsystems Corporation
31.160.241.112,9,00286f7f1467bc,ciscoSystems
62.148.191.1,9,f80f6fe4c650,ciscoSystems
31.160.156.32,9,00843dc68f65dc,ciscoSystems
84.29.55.1,9,000029c200a800,ciscoSystems
80.89.239.183,8072,No Mac indication (0x03),net-snmp
46.144.176.0,9,00a0239f083918,ciscoSystems
80.111.39.156,2863,No Mac indication (0x03),Thomson Inc.
77.242.113.185,9,006c8d77be2100,ciscoSystems
37.26.227.233,9,not_set,ciscoSystems
62.207.149.48,9,0000351a07a468,ciscoSystems
83.247.7.192,9,00001794197c44,ciscoSystems
37.235.114.111,9,00a03d6e4c0c80,ciscoSystems
45.152.39.197,9,00eabd85871a,ciscoSystems
80.113.13.217,9,00e8eb34fb7e80,ciscoSystems
62.179.27.66,9,00e86549fed5a0,ciscoSystems
85.146.246.177,13191,70fc8c6772e0,OneAccess
85.146.203.121,9,004c710d949f00,ciscoSystems
84.106.14.75,2863,No Mac indication (0x03),Thomson Inc.
77.61.187.49,9,004ce17561db80,ciscoSystems
81.173.126.80,9,0010b3d6acc780,ciscoSystems
31.149.244.39,9,000462731818ea,ciscoSystems
5.39.188.162,4413,70106fe4ec80,Broadcom Limited
46.226.236.43,9,00286ff14d0012,ciscoSystems
77.242.117.157,9,0058ac78c0e2b8,ciscoSystems
84.243.199.236,invalid,invalid,
80.114.215.0,9,00002790ffc000,ciscoSystems
37.143.80.103,9,not_set,ciscoSystems
46.144.164.81,9,00005d732665ee,ciscoSystems
23.249.239.51,9,003c13ccee2680,ciscoSystems
31.20.244.0,1344692224,not_set,
31.160.36.80,9,0000fd229e14d0,ciscoSystems
83.98.242.215,9,00b0c53ce4d080,ciscoSystems
45.138.37.194,invalid,invalid,
