IP,Enterprise Code,MAC,Vendor
31.160.24.200,9,007488bb74d700,ciscoSystems
37.247.38.1,9,0000d063ec6400,ciscoSystems
37.139.138.100,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
5.57.248.203,8072,No Mac indication (0x03),net-snmp
5.39.174.177,9,f80f6fe4c650,ciscoSystems
31.20.96.1,1344692224,not_set,
31.160.111.127,9,0070df2fd88d60,ciscoSystems
31.149.105.89,9,0000f28bb55bcc,ciscoSystems
5.39.168.67,8072,No Mac indication (0x03),net-snmp
5.133.85.31,9,0028affdf0a800,ciscoSystems
45.81.168.17,invalid,invalid,
31.149.240.42,9,00e4387ecd9580,ciscoSystems
2.58.164.50,8072,No Mac indication (0x03),net-snmp
31.160.31.143,9,007079b3062158,ciscoSystems
37.114.93.160,9,002c542daece00,ciscoSystems
23.249.238.56,9,00649ef33781b8,ciscoSystems
5.39.172.78,9,2c3311a412f0,ciscoSystems
37.0.82.14,9,007cad4f93dd80,ciscoSystems
37.17.221.54,9,005c710d0f5780,ciscoSystems
31.160.179.7,9,0044ae25d2a200,ciscoSystems
31.3.12.177,9,0058ac78268c80,ciscoSystems
37.17.214.159,9,0040b5c14f0c80,ciscoSystems
31.201.34.1,1344692224,not_set,
23.249.232.164,9,00d48cb57ee170,ciscoSystems
31.160.38.248,9,007411b2fa0704,ciscoSystems
5.10.127.118,9,4c0082fc5440,ciscoSystems
31.160.228.99,9,000081c40f786e,ciscoSystems
37.153.249.146,9,00a411bb73d180,ciscoSystems
31.160.203.17,9,00e4387ed57680,ciscoSystems
37.26.227.33,9,not_set,ciscoSystems
5.39.186.194,8072,No Mac indication (0x03),net-snmp
31.149.218.136,9,002cd02d93733a,ciscoSystems
31.187.153.1,1344692224,not_set,
45.10.229.184,8072,001add1e3de0,net-snmp
31.3.15.184,9,0058ac78269080,ciscoSystems
31.149.46.96,9,0020cfae613f00,ciscoSystems
31.201.3.255,1344692224,not_set,
45.81.222.153,9,not_set,ciscoSystems
31.192.113.203,8072,No Mac indication (0x03),net-snmp
5.180.225.73,9,00a8b456bd5000,ciscoSystems
31.160.238.104,9,00707db9302b60,ciscoSystems
31.171.206.254,9,f80f6fe4c650,ciscoSystems
31.149.113.129,9,0070695a60442c,ciscoSystems
37.235.118.0,9,0034b883bcf100,ciscoSystems
5.39.169.49,9,2c3311a412f0,ciscoSystems
31.3.9.149,9,0058ac78268c80,ciscoSystems
5.10.127.34,9,4c0082fc5440,ciscoSystems
37.17.215.108,9,00ec30919e3703,ciscoSystems
23.249.238.8,9,00000000000000,ciscoSystems
31.3.8.209,9,0058ac78269080,ciscoSystems
31.149.14.216,9,00a8b456e15830,ciscoSystems
31.149.9.89,9,00bc26c7d7c0ce,ciscoSystems
37.235.115.167,9,00f86bd934f500,ciscoSystems
37.220.169.1,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
31.160.82.77,9,0080248ffc1e00,ciscoSystems
31.160.209.65,9,00707db98470dc,ciscoSystems
31.3.12.87,1991,748ef8621780,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
31.149.98.33,9,00007888bd3888,ciscoSystems
31.160.33.209,9,00004268d3ec3e,ciscoSystems
31.160.199.240,9,00ecce139f3080,ciscoSystems
37.74.96.7,9,00087b8705ac00,ciscoSystems
31.184.88.1,1344692224,not_set,
5.57.251.2,9,00d4eb68280a80,ciscoSystems
31.223.164.240,9,009cd57d3a7100,ciscoSystems
37.46.123.199,9,00a4934cd5f93f,ciscoSystems
37.26.231.150,9,00286f7f4d3c80,ciscoSystems
37.235.112.192,9,0024161b375980,ciscoSystems
37.26.229.158,9,006c5e3b44b901,ciscoSystems
31.149.135.112,9,00a45630a7fb01,ciscoSystems
31.160.5.233,9,0000fec88acffc,ciscoSystems
31.149.197.49,9,0000f28bb54414,ciscoSystems
37.46.112.143,8072,No Mac indication (0x03),net-snmp
5.104.141.21,25506,443192fb4c17,H3C
31.160.23.23,9,0000351ae6b828,ciscoSystems
37.74.93.129,8072,1056ca1a4ee0,net-snmp
37.153.205.145,9,000021a0edc848,ciscoSystems
23.249.238.6,9,00c067afd9d880,ciscoSystems
31.160.142.112,9,0010b3d6d8d100,ciscoSystems
37.114.88.218,9,not_set,ciscoSystems
45.81.222.23,9,not_set,ciscoSystems
31.21.223.1,1344692224,not_set,
31.3.8.160,9,0058ac78268c80,ciscoSystems
31.160.167.254,8072,No Mac indication (0x03),net-snmp
23.249.234.156,9,00ccef4857e6a0,ciscoSystems
