"Running as user ""root"" and group ""root"". This could be dangerous."
Capturing on 'wlp0s20f3'
ip.src_host;snmp.msgAuthoritativeEngineID;snmp.msgAuthoritativeEngineBoots;snmp.msgAuthoritativeEngineTime
195.183.141.96;800000090300f4cfe2d06000;3;3343813
193.110.235.51;000000090300706e6dd6a43a;1;155450210
193.243.189.1;f5717f28993a15d9c500;1;96783584
195.35.170.109;800000090300504921a96a80;8;7038786
195.212.144.16;8000000903000476b0faaf60;13;31171835
193.56.239.181;80003a8c04;0;0
193.238.241.207;800000090300881dfcd31800;3;174844945
194.171.108.245;800063a280d89403e2a18400000001;1;240422718
194.76.225.2;f5717fc0d682ab4f5a00;7;8969368
208.88.129.232;8000000903003c510e8e4580;16;30415433
194.196.48.113;00000009030080a235982000;8;2470136
195.242.98.200;80001f8880e1a86f7ba674116700000000;1;19931010
193.67.51.255;80000009030034ed1bb532e0;4;165092116
195.169.148.150;80001f88803410fc5eb5c02865;6;50905861
195.169.150.232;8000000903005006ab638100;33;2174984
195.35.229.209;800000090300000832705901;7;129447334
195.212.179.55;00000009030080a235133000;8;1952549
195.35.217.241;80000009030084ebef22fa00;4;11247618
193.56.239.61;80003a8c04;0;0
195.212.169.104;00000009030080a2355d4000;7;4501734
195.212.248.25;00000009030080a2355c0800;6;3250533
212.45.35.220;800000090300588d09e6931c;2;47989591
195.182.27.74;800007db0358d061f79da0;4;84996597
195.169.148.61;80001f88803410fc5eb5c02865;6;50905862
193.56.239.33;80003a8c04;0;0
212.45.60.11;800000090300588d09e6931c;2;47989592
195.35.245.8;8000000903005c3e06b93480;15;6922029
212.45.63.96;800000090300001d45de2aa0;13;142859260
195.35.230.161;80000009030024d79c372200;9;5721396
195.212.95.242;8000000903003c26e4ebc180;6;28576938
195.114.237.165;80000a4c015ef74804;7;32317620
195.12.61.1;80003a8c04;0;0
195.75.221.105;80000009030064f69d4f4300;1;26534550
194.196.192.209;80000009030040017a416480;11;6670091
194.69.29.245;800000090300c067af3fb5a4;8;14302642
195.35.198.47;800000090300b0c53c1f7c80;14;34741048
193.29.181.17;80001f888061059614fefd876700000000;20;4523823
195.85.132.3;800000090300000d28cb0000;4;234644483
192.145.24.137;800000090300a00f37d8e580;10;20754574
193.202.75.207;800000090300a0e0af898a3f;6;106678070
192.145.26.32;800000090300ec01d531b180;2;80700535
193.187.191.19;80000634b20400001014cbd196;3;70479329
195.20.8.125;80001f8880e143a5047c25a75c00000000;15;23294228
193.110.235.233;000000090300706e6dd6a43a;1;155450214
195.75.26.71;00000009030080a2355e0800;7;1861945
195.35.250.224;800000090300084fa9188580;10;51536467
194.69.180.34;800000090300706d15304400;15;8712202
195.35.135.153;8000000903007411b2a9cb80;8;59524130
195.69.72.254;8000000903f80f6fe4c650;0;0
193.34.81.148;800000e804435a33343432454d424d;7;1749215412
193.148.22.9;800000090300f44e0506c340;1;43170695
195.134.168.55;80000009030000be75907980;22;54093733
195.35.227.184;8000000903007cad4f9b5e00;27;11152397
195.35.249.225;8000000903005cb12e090180;6;9857198
195.212.228.128;00000009030080a2355ca800;9;2467942
193.56.239.177;80003a8c04;0;0
194.126.241.29;80001f8880b5e099750c39f45400000000;9;250464227
195.35.242.248;80000009030010b3d522ee00;4;110670886
195.35.199.224;800000090300cc7f766c1800;14;29628718
193.34.81.227;800000e804435a33353439524a5843;13;1749215411
195.169.190.0;80000009030040017a4a6b70;46;93907824
195.35.242.137;800000090300084fa9882280;10;79960392
208.88.129.134;800000090300c828e5514300;6;55316164
195.60.214.152;80000009030080e01da02c81;9;153162055
208.88.130.84;800000090300ecce138b2480;16;35015262
194.102.239.3;8000000903006cab05384d00;10;70220421
192.145.25.49;800000090300a00f37fddc00;6;91399872
195.121.109.138;800000090300706bb99aab92;5;209967986
193.172.251.132;80000009030084ebef22c780;9;14831720
194.102.239.211;8000000903005c64f132a300;6;28937847
195.121.105.112;800000090300706bb99aab92;5;209967987
194.171.108.249;800063a280d89403e2a18400000001;1;240422731
193.78.66.251;80000a4c01c14e42f9;58;59257177
195.35.230.141;8000000903005c3e06b93300;4;18833847
208.88.128.180;800000090300b8a377109200;8;8130188
195.75.142.105;8000000903004006d5c18400;6;25312740
194.31.131.32;8000000903004c0082a07200;11;66166959
192.145.25.215;800000090300a00f37d56000;2;78188632
195.35.199.137;800000090300c4b239bfd000;32;16427771
195.35.253.57;8000000903005451dea7c100;6;8828793
